Location,Measurement,Time,Lattitude,Longitude,Latency
Clarksburg,10.8,3:50 PM 1/25,39.24,-77.28,-147
Cockeysville,10,12:00 PM 1/25,39.47,-76.64,-377
Columbia,9.7,2:50 PM 1/25,39.2,-76.86,-207
Edgemere,9.2,3:00 PM 1/25,39.22,-76.46,-197
Bloomfield,9,2:00 PM 1/25,39.46,-77.46,-257
Elkridge,9,3:00 PM 1/25,39.2,-76.8,-197
Clarksville,9,3:55 PM 1/25,39.23,-76.9,-142
Simpsonville,8.8,3:45 PM 1/25,39.17,-76.87,-152
Mc Henry,8.5,12:00 PM 1/25,39.53,-79.38,-377
Bynum,8.5,12:00 PM 1/25,39.57,-76.36,-377
Granite,8.5,11:30 AM 1/25,39.33,-76.85,-407
White Oak,8.5,3:00 PM 1/25,39.04,-77.03,-197
Chrome Hill,8.3,3:33 PM 1/25,39.6,-76.39,-164
Arlington,8.2,3:52 PM 1/25,39.34,-76.65,-145
Watersville,8,4:23 PM 1/25,39.38,-77.1,-114
Ballenger Creek,8,2:30 PM 1/25,39.37,-77.44,-227
New Market,8,1:18 PM 1/25,39.39,-77.27,-299
Deer Park,8,12:45 PM 1/25,39.49,-79.26,-332
Laytonsville,8,3:51 PM 1/25,39.21,-77.14,-146
Four Corners,8,2:06 PM 1/25,39.03,-77.02,-251
Boonsboro,7.9,2:00 PM 1/25,39.55,-77.64,-257
Gaither,7.8,1:00 PM 1/25,39.35,-76.97,-317
Laytonsville,7.7,2:30 PM 1/25,39.22,-77.19,-227
Potomac,7.7,12:51 PM 1/25,39.04,-77.2,-326
Bwi Airport,7.6,3:16 PM 1/25,39.18,-76.65,-181
Aberdeen Proving Ground,7.6,12:00 PM 1/25,39.5,-76.12,-377
Chelsea Beach,7.5,4:26 PM 1/25,39.1,-76.53,-111
Long Green,7.5,2:00 PM 1/25,39.49,-76.54,-257
Eldersburg,7.5,2:40 PM 1/25,39.4,-76.93,-217
Point of Rocks,7.5,3:30 PM 1/25,39.28,-77.53,-167
Thurmont,7.3,1:45 PM 1/25,39.61,-77.4,-272
Historic Ellicott City,7.3,12:00 PM 1/25,39.27,-76.87,-377
Germantown,7.2,1:30 PM 1/25,39.18,-77.26,-287
Mount Airy,7.1,12:47 PM 1/25,39.37,-77.17,-330
Harford,7.1,1:00 PM 1/25,39.49,-76.24,-317
Westminster,7,1:00 PM 1/25,39.58,-77,-317
Pleasant Hill,7,3:00 PM 1/25,39.65,-75.88,-197
Adamstown,7,1:00 PM 1/25,39.31,-77.46,-317
New Market,7,11:00 AM 1/25,39.4,-77.3,-437
Jarrettsville,7,11:30 AM 1/25,39.6,-76.47,-407
Elkridge,7,3:05 PM 1/25,39.2,-76.79,-192
Washington Grove,7,12:34 PM 1/25,39.15,-77.17,-343
Gaithersburg,7,1:00 PM 1/25,39.14,-77.17,-317
Forestville,7,4:07 PM 1/25,38.85,-76.87,-130
Warrenton,7,12:15 PM 1/25,39.7,-77.83,-362
Rockville,6.8,12:50 PM 1/25,39.07,-77.15,-327
Hancock,6.8,1:30 PM 1/25,39.7,-78.16,-287
Park Heights,6.7,11:21 AM 1/25,39.34,-76.65,-416
Laurel,6.7,2:13 PM 1/25,39.13,-76.84,-244
Potomac,6.7,4:08 PM 1/25,39.05,-77.22,-129
Uniontown,6.6,3:22 PM 1/25,39.63,-77.12,-175
Clifton,6.6,1:50 PM 1/25,39.45,-77.47,-267
Gaither,6.6,3:30 PM 1/25,39.33,-76.98,-167
Laurel,6.6,3:45 PM 1/25,39.07,-76.87,-152
Saint Leonard,6.5,11:45 AM 1/25,38.49,-76.51,-392
Mount Harmony,6.5,1:00 PM 1/25,38.71,-76.61,-317
Hughesville,6.5,11:00 AM 1/25,38.54,-76.78,-437
Bloomfield,6.5,12:05 PM 1/25,39.46,-77.39,-372
Norbeck,6.5,3:00 PM 1/25,39.1,-77.06,-197
Frostburg,6.4,11:30 AM 1/25,39.66,-78.9,-407
Birdsville,6.4,2:15 PM 1/25,38.9,-76.6,-242
Bowie,6.4,3:45 PM 1/25,38.94,-76.73,-152
Colesville,6.3,4:10 PM 1/25,39.1,-77.03,-127
Elkridge,6.2,3:47 PM 1/25,39.19,-76.72,-150
Boyds,6.2,2:15 PM 1/25,39.17,-77.3,-242
Hillandale,6.2,11:57 AM 1/25,39.02,-76.99,-380
Marlton,6.2,1:00 PM 1/25,38.75,-76.81,-317
Ellicott City,6.1,1:05 PM 1/25,39.26,-76.85,-312
Lower Marlboro,6,11:00 AM 1/25,38.66,-76.68,-437
Gaither,6,11:00 AM 1/25,39.33,-77.01,-437
Ilchester,6,1:00 PM 1/25,39.25,-76.79,-317
Hollywood,6,2:48 PM 1/25,38.35,-76.57,-209
College Park,5.8,2:45 PM 1/25,38.98,-76.93,-212
Chestertown,5.7,02:30 PM 1/25,39.212361223479,-76.065994798236,-227
Garrett Park,5.6,12:40 PM 1/25,39.03,-77.12,-337
Lusby,5.5,1:00 PM 1/25,38.41,-76.46,-317
Rock Springs,5.5,11:15 AM 1/25,39.71,-76.14,-422
Colesville,5.5,3:28 PM 1/25,39.08,-77.01,-169
Bethesda,5.5,1:38 PM 1/25,39,-77.12,-279
Somerset,5.5,1:15 PM 1/25,38.97,-77.07,-302
Huntingtown,5,4:05 PM 1/25,38.62,-76.61,-132
Takoma Park,5,1:00 PM 1/25,38.99,-77.02,-317
Greenbelt,5,1:46 PM 1/25,38.98,-76.87,-271
Lusby,4.5,11:00 AM 1/25,38.41,-76.46,-437
Prince Frederick,4.5,1:00 PM 1/25,38.53,-76.59,-317
Chesapeake Beach,4.5,12:45 PM 1/25,38.69,-76.54,-332
California,4,4:06 PM 1/25,38.3,-76.5,-131
Faulkner,3.9,1:00 PM 1/25,38.44,-76.98,-317
