Location,Measurement,Time,Lattitude,Longitude,Latency
Sabillasville,12.3,5:43 AM 2/23,39.72,-77.47,-175
Elkton,8.5,5:54 AM 2/23,39.6,-75.86,-164
Damascus,6.9,4:31 AM 2/23,39.26,-77.23,-247
Watersville,6.8,6:03 AM 2/23,39.38,-77.1,-155
Winfield,6,4:35 AM 2/23,39.46,-77.05,-243
Bynum,6,6:30 AM 2/23,39.57,-76.36,-128
Millington,6,05:30 AM 2/23,39.2589328,-75.8398635,-188
Green Valley,5.8,6:00 AM 2/23,39.35,-77.25,-158
Chrome Hill,5.6,5:15 AM 2/23,39.6,-76.39,-203
Gaithersburg,5.5,5:12 AM 2/23,39.14,-77.17,-206
Clements,5.5,5:43 AM 2/23,38.33,-76.68,-175
1 SSW Carville,5.5,10:08 PM 2/22,39.0311,-76.019,-630
Long Green,5.1,6:00 AM 2/23,39.49,-76.54,-158
Bel Air,5.1,6:03 AM 2/23,39.53,-76.35,-155
Bentley Springs,5,5:42 AM 2/23,39.59,-76.67,-176
Bentley Springs,5,6:00 AM 2/23,39.67,-76.65,-158
Ballenger Creek,5,5:45 AM 2/23,39.37,-77.41,-173
Funkstown,5,5:41 AM 2/23,39.6,-77.74,-177
Grasonville,5,04:59 AM 2/23,38.9598,-76.2031,-219
Carney,4.5,6:00 AM 2/23,39.39,-76.51,-158
Lusby,4.5,6:30 AM 2/23,38.41,-76.46,-128
Prince Frederick,4.5,5:45 AM 2/23,38.53,-76.59,-173
Westminster,4.5,6:15 AM 2/23,39.64,-76.93,-143
Uniontown,4.5,6:25 AM 2/23,39.63,-77.12,-133
Deer Park,4.5,7:00 AM 2/23,39.49,-79.26,-98
Easton 0.9 SSE,4.5,07:00 AM 2/23,38.7618,-76.0664,-98
Rock Springs,4.3,5:55 AM 2/23,39.71,-76.14,-163
Forest Hill,4.2,7:00 AM 2/23,39.56,-76.42,-98
Washington Grove,4.2,6:40 AM 2/23,39.15,-77.17,-118
Owings Mills,4,5:42 AM 2/23,39.41,-76.8,-176
Ripley,4,6:45 AM 2/23,38.55,-77.09,-113
La Plata,4,5:44 AM 2/23,38.55,-76.98,-174
Grantsville,4,4:38 AM 2/23,39.7,-79.25,-240
Accident,4,4:47 AM 2/23,39.66,-79.3,-231
Churchville,4,5:42 AM 2/23,39.55,-76.24,-176
Dayton,4,5:45 AM 2/23,39.25,-76.98,-173
Westminster,3.9,6:45 AM 2/23,39.58,-77,-113
Norbeck,3.9,7:00 AM 2/23,39.1,-77.06,-98
Chestertown,3.9,07:55 AM 2/23,39.21173630245576,-76.07093264165843,-43
Four Corners,3.8,4:45 AM 2/23,39.02,-77,-233
Parole,3.5,5:44 AM 2/23,38.99,-76.55,-174
Gaither,3.5,4:54 AM 2/23,39.33,-77.01,-224
Simpsonville,3.5,4:32 AM 2/23,39.19,-76.88,-246
Aspen Hill,3.4,1:36 AM 2/23,39.09,-77.04,-422
California,3.1,7:00 AM 2/23,38.3,-76.53,-98
Edgemere,3,7:00 AM 2/23,39.22,-76.46,-98
Prince Frederick,3,6:30 AM 2/23,38.55,-76.59,-128
Mountain Lake Park,3,4:46 AM 2/23,39.41,-79.36,-232
Somerset,3,1:41 AM 2/23,38.97,-77.07,-417
Timonium,2.8,2:48 AM 2/23,39.44,-76.65,-350
Eldersburg,2.8,4:31 AM 2/23,39.4,-76.93,-247
Dentsville,2.8,4:29 AM 2/23,38.47,-76.91,-249
Green Haven,2.5,6:15 AM 2/23,39.13,-76.53,-143
Bethesda,2.5,6:21 AM 2/23,39,-77.12,-137
Upper Marlboro,2.5,5:40 AM 2/23,38.8,-76.75,-178
Odenton,2.3,6:45 AM 2/23,39.06,-76.7,-113
Crofton,2.3,4:13 AM 2/23,39,-76.68,-265
Annapolis,2,4:51 AM 2/23,38.97,-76.5,-227
Elkridge,2,7:00 AM 2/23,39.2,-76.8,-98
Laurel,1.9,6:37 AM 2/23,39.13,-76.84,-121
Laurel,1.7,5:41 AM 2/23,39.1,-76.85,-177
Clarksville,1.6,4:33 AM 2/23,39.24,-76.94,-245
Severn,1.5,6:00 AM 2/23,39.13,-76.72,-158
Ballenger Creek,1.5,6:00 AM 2/23,39.37,-77.44,-158
Elkridge,1.5,7:01 AM 2/23,39.2,-76.75,-97
Potomac Park,1,5:54 AM 2/23,39.63,-78.83,-164
